input_file,size,num_processors,elapsed_time
test_data/input_2M_5.txt, 2097152, 4, 0.208033
test_data/input_2M_5.txt, 2097152, 8, 0.156448
test_data/input_2M_5.txt, 2097152, 16, 0.195122
test_data/input_2M_5.txt, 2097152, 32, 0.189307
test_data/input_2M_5.txt, 2097152, 128, 0.192843
test_data/input_2M_5.txt, 2097152, 256, 0.208043
test_data/input_2M_6.txt, 2097152, 2, 0.188999
test_data/input_2M_6.txt, 2097152, 4, 0.22629
test_data/input_2M_6.txt, 2097152, 8, 0.193063
test_data/input_2M_6.txt, 2097152, 16, 0.205218
test_data/input_2M_6.txt, 2097152, 32, 0.205178
test_data/input_2M_6.txt, 2097152, 128, 0.206789
test_data/input_2M_6.txt, 2097152, 256, 0.209433
test_data/input_2M_7.txt, 2097152, 2, 0.205611
test_data/input_2M_7.txt, 2097152, 4, 0.21742
test_data/input_2M_7.txt, 2097152, 8, 0.185481
test_data/input_2M_7.txt, 2097152, 16, 0.191964
test_data/input_2M_7.txt, 2097152, 32, 0.190662
test_data/input_2M_7.txt, 2097152, 128, 0.221913
test_data/input_2M_7.txt, 2097152, 256, 0.188343
test_data/input_2M_8.txt, 2097152, 2, 0.202534
test_data/input_2M_8.txt, 2097152, 4, 0.201257
test_data/input_2M_8.txt, 2097152, 8, 0.208115
test_data/input_2M_8.txt, 2097152, 16, 0.19704
test_data/input_2M_8.txt, 2097152, 32, 0.176126
test_data/input_2M_8.txt, 2097152, 128, 0.205212
test_data/input_2M_8.txt, 2097152, 256, 0.201508
test_data/input_2M_9.txt, 2097152, 2, 0.16755
test_data/input_2M_9.txt, 2097152, 4, 0.20413
test_data/input_2M_9.txt, 2097152, 8, 0.164812
test_data/input_2M_9.txt, 2097152, 16, 0.193621
test_data/input_2M_9.txt, 2097152, 32, 0.179336
test_data/input_2M_9.txt, 2097152, 128, 0.211243
test_data/input_2M_9.txt, 2097152, 256, 0.195878
test_data/input_2M_10.txt, 2097152, 2, 0.197828
test_data/input_2M_10.txt, 2097152, 4, 0.193813
test_data/input_2M_10.txt, 2097152, 8, 0.165297
test_data/input_2M_10.txt, 2097152, 16, 0.189485
test_data/input_2M_10.txt, 2097152, 32, 0.178523
test_data/input_2M_10.txt, 2097152, 128, 0.197895
test_data/input_2M_10.txt, 2097152, 256, 0.20965
test_data/input_4M_1.txt, 4194304, 2, 0.34408
test_data/input_4M_1.txt, 4194304, 4, 0.327045
test_data/input_4M_1.txt, 4194304, 8, 0.314827
test_data/input_4M_1.txt, 4194304, 16, 0.337459
