input_file,number_keys,num_processors,elapsed_time
test_data/input_2M_3.txt, 2097152, 16, 0.166209
test_data/input_2M_3.txt, 2097152, 32, 0.088231
test_data/input_2M_3.txt, 2097152, 64, 0.120634
test_data/input_2M_3.txt, 2097152, 128, 0.211558
test_data/input_2M_3.txt, 2097152, 256, 0.269157
test_data/input_2M_4.txt, 2097152, 2, 0.157258
test_data/input_2M_4.txt, 2097152, 4, 0.112004
test_data/input_2M_4.txt, 2097152, 8, 0.114015
test_data/input_2M_4.txt, 2097152, 16, 0.098767
test_data/input_2M_4.txt, 2097152, 32, 0.204225
test_data/input_2M_4.txt, 2097152, 64, 0.106428
test_data/input_2M_4.txt, 2097152, 128, 0.210545
test_data/input_2M_4.txt, 2097152, 256, 0.180658
test_data/input_2M_5.txt, 2097152, 2, 0.129882
test_data/input_2M_5.txt, 2097152, 4, 0.068378
test_data/input_2M_5.txt, 2097152, 8, 0.107781
test_data/input_2M_5.txt, 2097152, 16, 0.15487
test_data/input_2M_5.txt, 2097152, 32, 0.156572
test_data/input_2M_5.txt, 2097152, 64, 0.146102
test_data/input_2M_5.txt, 2097152, 128, 0.128002
test_data/input_2M_5.txt, 2097152, 256, 0.142245
test_data/input_2M_6.txt, 2097152, 2, 0.155589
test_data/input_2M_6.txt, 2097152, 4, 0.132232
test_data/input_2M_6.txt, 2097152, 8, 0.1106
test_data/input_2M_6.txt, 2097152, 16, 0.099525
test_data/input_2M_6.txt, 2097152, 32, 0.11218
test_data/input_2M_6.txt, 2097152, 64, 0.120386
test_data/input_2M_6.txt, 2097152, 128, 0.159729
test_data/input_2M_6.txt, 2097152, 256, 0.206294
test_data/input_2M_7.txt, 2097152, 2, 0.152225
test_data/input_2M_7.txt, 2097152, 4, 0.083113
test_data/input_2M_7.txt, 2097152, 8, 0.137894
test_data/input_2M_7.txt, 2097152, 16, 0.113877
test_data/input_2M_7.txt, 2097152, 32, 0.108123
test_data/input_2M_7.txt, 2097152, 64, 0.11463
test_data/input_2M_7.txt, 2097152, 128, 0.164151
test_data/input_2M_7.txt, 2097152, 256, 0.215262
test_data/input_2M_8.txt, 2097152, 2, 0.169451
test_data/input_2M_8.txt, 2097152, 4, 0.086224
test_data/input_2M_8.txt, 2097152, 8, 0.107762
test_data/input_2M_8.txt, 2097152, 16, 0.076033
test_data/input_2M_8.txt, 2097152, 32, 0.140092
test_data/input_2M_8.txt, 2097152, 64, 0.079627
test_data/input_2M_8.txt, 2097152, 128, 0.152967
test_data/input_2M_8.txt, 2097152, 256, 0.220073
test_data/input_2M_9.txt, 2097152, 2, 0.150338
test_data/input_2M_9.txt, 2097152, 4, 0.069461
test_data/input_2M_9.txt, 2097152, 8, 0.063489
test_data/input_2M_9.txt, 2097152, 16, 0.104229
test_data/input_2M_9.txt, 2097152, 32, 0.112937
test_data/input_2M_9.txt, 2097152, 64, 0.089381
test_data/input_2M_9.txt, 2097152, 128, 0.263668
test_data/input_2M_9.txt, 2097152, 256, 0.197611
test_data/input_2M_10.txt, 2097152, 2, 0.144941
test_data/input_2M_10.txt, 2097152, 4, 0.100106
test_data/input_2M_10.txt, 2097152, 8, 0.120954
test_data/input_2M_10.txt, 2097152, 16, 0.108722
test_data/input_2M_10.txt, 2097152, 32, 0.143194
test_data/input_2M_10.txt, 2097152, 64, 0.133611
test_data/input_2M_10.txt, 2097152, 128, 0.218515
test_data/input_2M_10.txt, 2097152, 256, 0.149682
test_data/input_4M_1.txt, 4194304, 2, 0.17523
test_data/input_4M_1.txt, 4194304, 4, 0.139186
test_data/input_4M_1.txt, 4194304, 8, 0.122213
test_data/input_4M_1.txt, 4194304, 16, 0.126062
test_data/input_4M_1.txt, 4194304, 32, 0.177812
test_data/input_4M_1.txt, 4194304, 64, 0.161794
test_data/input_4M_1.txt, 4194304, 128, 0.180531
test_data/input_4M_1.txt, 4194304, 256, 0.185375
test_data/input_4M_2.txt, 4194304, 2, 0.176851
test_data/input_4M_2.txt, 4194304, 4, 0.143976
test_data/input_4M_2.txt, 4194304, 8, 0.128078
